"Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"F",0.5,0.4,NA,0.7105,0.27,0.1455,0.225,20
"I",0.355,0.285,NA,0.2275,0.0955,0.0475,0.0715,6
"F",0.54,0.44,0.16,1.0905,NA,0.2295,0.355,15
"I",NA,0.335,0.105,0.3305,0.1405,0.064,0.105,7
"M",0.53,0.415,0.13,0.8425,0.275,NA,0.265,NA
"M",0.42,0.325,0.115,0.2885,0.1,0.057,NA,NA
"M",0.525,NA,0.13,NA,0.3375,NA,0.225,8
"I",0.425,NA,0.095,0.3505,0.1645,NA,0.1,8
"M",0.625,0.495,0.175,1.2075,0.531,0.281,NA,11
"M",0.635,0.495,0.15,NA,0.4825,NA,0.31,NA
"I",0.45,0.345,NA,0.443,NA,0.0875,0.1175,14
"I",0.465,0.355,0.11,NA,0.23,0.1005,0.12,7
"M",NA,0.475,0.145,NA,0.3665,0.173,0.269,9
"I",0.465,NA,0.11,0.445,0.1635,NA,0.166,7
"I",0.5,0.39,0.13,0.5075,0.2115,NA,0.1755,9
"I",NA,NA,0.09,0.3335,0.1635,0.061,NA,6
"I",0.48,0.35,0.105,0.635,0.352,0.127,0.135,6
"I",0.565,NA,0.145,0.8445,0.3975,0.158,0.255,9
"I",0.495,0.38,0.135,0.5095,0.2065,0.1165,0.165,8
"F",0.415,0.305,NA,0.32,0.1305,0.0755,0.105,8
"F",0.57,0.465,0.155,0.872,0.3245,0.239,0.285,14
"M",0.595,0.455,0.15,0.886,0.4315,0.201,0.223,10
"F",0.72,0.55,NA,1.9965,NA,0.469,0.5215,10
"I",0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,12
"F",0.69,0.54,NA,NA,0.624,0.3105,0.39,9
"I",0.455,0.365,NA,0.441,0.1515,0.1165,0.145,9
"M",0.52,0.41,NA,0.77,0.263,0.157,0.26,11
"M",NA,0.355,0.11,0.4415,0.1805,0.1035,0.1505,10
"M",0.68,0.52,0.175,1.543,0.7525,0.351,0.374,11
"F",NA,0.51,0.185,1.286,0.526,0.295,0.4105,NA
"M",0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008,4
"F",0.56,0.41,0.16,0.8215,0.342,NA,0.253,NA
"M",0.535,0.43,0.14,NA,0.2855,0.1595,0.2155,8
"I",NA,NA,0.07,NA,0.058,0.0325,0.047,7
"M",0.715,NA,0.175,1.9525,0.7645,0.4185,0.4135,10
"I",0.555,NA,NA,0.6975,0.262,NA,0.24,NA
"F",0.71,NA,0.18,1.652,NA,0.381,0.4525,11
"I",0.56,0.435,0.135,0.72,NA,0.103,0.251,11
"I",0.275,0.195,0.065,0.106,0.054,0.02,0.028,NA
"F",0.58,NA,0.16,NA,0.312,0.196,0.3,17
"M",NA,0.5,0.19,1.519,0.616,NA,NA,NA
"I",0.37,0.275,0.14,0.2215,0.097,0.0455,NA,6
"I",0.54,0.395,0.135,0.6555,NA,0.155,0.192,9
"I",0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,NA
"M",0.53,0.4,0.125,0.7575,0.398,0.151,0.175,8
"M",0.625,0.505,0.185,NA,0.52,0.2405,NA,10
"M",0.6,0.51,0.185,1.285,0.6095,0.2745,NA,9
"F",0.575,0.43,NA,0.7955,0.3485,NA,0.22,9
"I",0.415,0.315,0.09,0.3625,0.175,0.0835,0.093,NA
"M",0.645,0.495,0.15,1.2095,NA,0.2225,0.339,9
"M",0.61,0.49,0.16,1.112,0.465,0.228,0.341,10
"M",0.515,0.38,NA,0.6615,0.2875,0.2095,0.155,10
"I",0.34,NA,0.07,0.185,0.0625,0.0395,0.07,7
"I",0.235,0.175,0.08,0.0645,0.0215,0.0175,0.0215,5
"M",0.465,0.355,NA,0.4795,0.227,0.124,0.125,8
"F",0.455,0.365,0.11,0.385,0.166,0.046,NA,13
"F",0.595,0.495,NA,NA,0.416,0.224,0.485,13
"I",0.545,0.435,0.135,0.7715,NA,0.148,0.227,8
"I",NA,0.37,0.1,0.513,NA,0.1075,0.13,7
"I",0.445,0.33,0.11,NA,0.1525,0.067,0.1185,8
"I",0.485,0.355,0.13,0.581,0.245,0.132,0.168,12
"M",0.565,NA,0.195,1.142,NA,NA,0.35,17
"M",0.57,0.45,0.145,0.95,0.4005,NA,0.2845,10
"I",0.415,0.31,0.1,0.2805,NA,0.0565,0.0975,NA
"I",0.165,0.12,0.05,0.021,0.0075,0.0045,0.014,3
"F",0.61,0.495,0.185,NA,0.536,0.2905,0.245,8
"F",0.655,0.51,0.175,NA,0.8515,NA,0.403,10
"F",0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14
"M",NA,0.555,NA,2.141,1.0465,0.383,NA,11
"I",0.41,0.315,NA,0.3,0.124,0.0575,0.1,NA
"F",NA,0.475,NA,1.1845,0.533,0.307,0.291,10
"I",0.355,NA,0.1,0.2255,NA,0.042,0.064,7
"I",0.565,0.44,0.135,NA,0.3305,0.1385,NA,9
"I",0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,18
"M",0.555,NA,NA,0.755,0.307,0.1525,0.26,12
"M",0.52,0.425,0.125,0.79,0.372,0.205,NA,8
"F",0.435,0.35,NA,NA,0.143,0.1005,0.125,13
"I",NA,0.16,NA,NA,0.025,0.015,0.015,4
"M",0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,10
"I",0.235,0.13,NA,NA,0.0685,0.037,0.0465,5
"I",0.485,0.375,0.13,0.5535,0.266,0.112,0.157,NA
"F",0.535,NA,0.15,1.224,0.618,0.275,NA,10
"F",0.61,0.495,NA,1.1085,0.3705,0.3135,0.33,12
"F",0.585,NA,0.13,0.8755,0.411,0.2065,0.225,8
"I",0.53,0.42,0.12,0.5965,0.2555,0.141,0.177,7
"F",0.64,0.52,0.175,1.248,0.4245,0.2595,0.48,12
"I",NA,0.19,0.06,0.099,0.0445,0.017,0.03,5
"M",0.485,0.385,0.125,0.4775,0.2,0.0785,NA,12
"F",0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12
"I",0.45,0.33,0.1,0.411,NA,0.1,0.098,6
"M",0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7
"I",0.465,NA,0.1,0.5055,0.234,NA,0.14,7
"F",0.745,0.57,0.215,2.25,NA,0.446,0.558,9
"F",0.65,0.545,0.185,1.5055,0.6565,0.341,0.43,10
"F",0.66,0.52,NA,1.676,0.673,0.4805,NA,17
"M",0.62,0.49,NA,NA,0.4605,0.302,0.355,9
"F",NA,0.565,0.215,1.938,NA,0.4825,0.575,11
"F",0.48,0.385,0.135,0.536,0.1895,0.142,0.173,14
"M",NA,0.275,NA,0.2065,0.0725,0.043,0.07,10
"F",0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,NA
"F",0.575,0.47,0.155,1.116,0.509,0.238,0.34,10
"M",0.465,0.36,0.11,0.4955,0.2665,0.085,0.121,7
"F",NA,NA,0.19,1.551,0.7105,0.3685,0.412,13
"F",0.475,0.375,0.14,NA,0.192,NA,0.175,13
"I",0.33,0.255,0.085,0.1655,0.063,0.039,NA,8
"F",0.59,0.46,NA,0.9905,0.453,NA,NA,NA
"M",NA,0.41,0.14,0.7545,NA,0.1715,0.2105,8
"M",0.57,0.46,NA,1.0005,0.454,0.205,0.265,11
"M",0.545,0.42,0.13,0.879,0.374,0.1695,NA,13
"I",0.395,NA,0.1,0.3075,0.149,0.0535,0.09,8
"I",0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13
"M",0.545,NA,0.14,0.8395,0.356,0.1905,0.2385,11
"M",0.65,0.525,0.185,1.488,0.665,0.337,NA,11
"M",0.605,0.49,0.18,1.167,0.457,NA,0.3745,9
"F",0.495,0.41,0.125,0.7555,NA,0.129,0.214,9
"M",0.535,0.41,0.12,0.6835,0.3125,0.1655,0.159,NA
"M",0.62,0.48,0.16,1.0765,0.412,NA,0.3,13
"F",0.705,NA,0.17,NA,0.607,0.318,0.44,11
"F",NA,0.42,0.175,0.754,0.256,0.1775,NA,10
"M",0.63,0.47,0.155,1.1325,0.589,0.211,NA,8
"M",NA,0.4,0.155,0.8085,0.2345,0.1155,NA,6
"M",0.44,0.355,0.125,0.4775,0.132,0.0815,NA,9
"I",0.545,0.43,0.14,0.687,NA,0.1405,0.25,9
"M",0.63,NA,NA,1.2795,0.618,0.256,0.315,9
"F",0.675,0.525,NA,1.711,0.8365,0.352,0.475,9
"M",NA,0.53,NA,1.12,0.5775,0.2095,0.286,9
"F",NA,0.575,0.175,2.124,0.765,NA,0.85,20
"F",0.53,0.405,NA,0.889,0.4055,0.2275,0.215,8
"I",NA,0.4,0.125,0.5605,NA,0.1435,0.17,NA
"F",NA,0.455,0.165,1.161,0.38,0.2455,0.28,12
"F",0.63,0.49,0.17,1.2155,NA,0.2045,0.3105,10
"F",0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10
"F",0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,7
"I",0.43,0.325,NA,0.3675,0.1355,0.0935,0.12,NA
"F",0.555,0.42,0.11,0.931,0.4445,0.171,0.225,8
"M",0.575,0.46,0.155,0.892,NA,0.176,NA,10
"M",0.645,0.51,0.16,1.33,0.6665,0.309,0.317,9
"F",NA,0.425,0.125,0.932,NA,0.213,0.335,9
"M",0.625,0.505,0.175,1.131,NA,0.2265,0.323,8
"M",NA,0.315,0.095,0.306,0.121,NA,0.09,9
"F",0.57,NA,0.14,0.871,0.385,0.211,0.2315,10
"I",0.535,0.45,0.135,0.728,NA,0.1845,0.265,9
"M",NA,0.425,0.15,0.8315,0.411,0.1765,0.2165,NA
"I",0.45,0.35,NA,0.468,NA,0.1065,0.1325,8
"F",0.525,0.41,0.135,0.7085,NA,0.1525,0.235,NA
"M",0.58,0.47,0.165,0.927,0.3215,NA,0.315,11
"M",0.205,0.155,NA,0.0425,0.017,0.0055,0.0155,NA
"F",NA,0.48,0.165,1.1615,0.513,0.301,0.305,10
"M",0.67,0.525,0.195,1.4405,NA,0.2675,0.425,NA
"M",0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,NA
"M",0.67,0.52,0.175,1.4755,0.6275,0.379,0.374,10
"I",0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,6
"F",0.595,0.475,0.165,1.148,0.444,0.214,NA,10
"M",0.59,0.465,0.155,NA,0.5245,0.2615,NA,11
"I",0.61,0.465,NA,NA,0.4495,0.1725,0.286,NA
"I",0.475,0.35,0.12,NA,0.2035,0.13,0.135,7
"F",0.655,0.51,NA,1.092,0.396,NA,NA,14
"M",0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,8
"I",0.41,0.33,NA,0.335,0.1525,0.074,0.11,7
"M",0.705,NA,NA,1.4385,0.655,0.3255,0.462,NA
"I",NA,NA,0.1,NA,0.108,0.0395,NA,6
"M",0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10
"F",NA,0.485,0.185,NA,0.6735,0.3465,0.3255,11
"I",0.245,0.195,0.06,0.095,0.0445,NA,0.026,4
"F",0.735,0.565,0.225,2.037,0.87,0.5145,NA,13
"F",0.62,0.51,0.175,1.1255,NA,0.227,0.315,NA
"M",0.345,0.255,0.08,0.169,0.06,0.0425,0.054,NA
"M",0.545,NA,0.15,0.978,NA,0.1905,0.3,11
"I",0.455,0.345,0.11,NA,0.207,0.0855,NA,8
"F",0.505,0.39,0.175,0.692,0.267,0.15,0.215,12
"F",NA,NA,0.195,1.619,0.74,0.3305,0.465,11
"F",0.5,NA,0.145,0.63,0.234,NA,0.23,12
"F",NA,NA,0.14,0.5555,0.213,NA,0.215,15
"I",NA,0.315,0.115,0.384,0.1885,0.0715,NA,8
"F",0.635,0.515,NA,1.3715,0.5065,0.305,0.45,10
"M",0.555,0.44,NA,NA,0.4165,0.1685,0.23,8
"F",0.455,0.35,NA,0.5185,0.221,0.1265,0.135,10
"I",0.295,0.215,0.085,NA,0.049,0.034,0.04,6
"F",0.61,0.47,0.16,NA,0.4925,0.236,0.29,8
"M",0.575,0.45,0.13,0.785,0.318,0.193,NA,9
"F",0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8
"I",0.22,0.165,0.055,0.0545,0.0215,0.012,0.02,5
"F",0.64,0.48,0.195,1.1435,NA,NA,0.353,9
"M",0.615,0.475,0.205,1.337,0.5995,NA,0.37,11
"F",0.38,0.305,0.105,NA,0.1045,0.0615,0.09,12
"I",0.48,NA,0.11,0.4495,0.201,0.089,0.14,8
"M",0.585,0.455,0.155,1.133,NA,NA,0.305,12
"F",0.5,0.405,0.14,0.6735,NA,0.124,0.25,18
"I",0.44,0.35,0.125,0.456,NA,0.0955,NA,8
"F",0.525,0.4,0.115,0.6295,0.2555,0.144,0.18,11
"M",0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,11
"F",0.6,0.475,0.15,1.13,0.575,0.196,0.305,9
"F",0.71,0.57,0.195,1.9805,0.9925,0.4925,0.48,12
"M",0.585,NA,0.145,0.953,0.3945,0.2685,0.258,NA
"I",0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,NA
"M",0.505,0.4,0.15,0.775,0.3445,0.157,0.185,7
"M",0.625,NA,0.15,1.124,0.556,0.2315,0.287,9
"M",0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9
"F",0.53,0.425,0.13,0.7585,0.325,NA,0.205,8
"M",0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,12
"I",0.515,0.4,0.14,0.7165,NA,0.1595,0.1785,8
"I",0.475,NA,0.105,0.468,0.201,0.1115,0.12,8
"M",0.605,0.49,0.14,0.9755,0.419,0.206,0.315,10
"F",0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10
"F",NA,NA,0.14,0.846,0.346,0.1715,0.2735,10
"M",0.65,0.51,0.19,1.542,0.7155,0.3735,0.375,9
"M",0.595,NA,0.14,0.838,0.3965,NA,0.217,10
"M",0.64,0.485,0.15,1.098,0.5195,NA,0.3175,10
"F",0.57,0.455,0.15,1.107,0.54,0.255,0.27,NA
"F",0.575,0.48,0.15,0.8745,0.375,0.193,0.29,12
"M",0.45,NA,0.125,0.349,0.119,0.1055,0.115,10
"M",0.575,0.425,0.14,0.8635,NA,NA,0.2,11
"F",0.615,0.495,NA,1.255,0.5815,0.3195,0.3225,12
"F",NA,0.5,0.17,NA,0.694,0.318,0.3235,11
"F",0.675,NA,0.195,1.382,0.6045,NA,0.3965,10
"M",0.555,0.435,0.14,0.7495,0.341,0.1645,NA,8
"F",0.5,NA,0.115,0.6785,0.2945,0.138,0.195,12
"M",0.375,0.305,NA,0.3245,0.1395,0.0565,0.095,NA
"M",NA,0.405,0.15,0.7035,0.347,0.134,0.1885,8
"I",0.48,0.355,0.115,0.4725,0.2065,0.112,0.132,8
"I",0.61,0.48,0.165,1.097,0.4215,0.264,0.335,13
"I",0.275,0.205,0.065,0.101,0.041,0.021,0.034,5
"I",0.485,0.385,0.13,NA,0.2505,0.178,0.154,7
"I",0.5,NA,0.12,0.529,0.2235,0.123,NA,8
"I",0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,8
"I",NA,NA,0.125,0.601,0.25,0.1205,NA,8
"M",0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9
"I",0.385,NA,0.085,0.2175,0.097,0.038,0.067,NA
"F",0.58,0.445,0.135,0.95,0.484,NA,0.2325,8
"M",0.495,0.415,0.165,0.7485,0.264,0.134,0.285,13
"M",0.53,0.415,0.14,0.724,0.3105,NA,0.205,10
"M",0.59,0.455,0.145,1.073,0.475,NA,0.285,14
"I",NA,0.285,0.09,0.248,NA,0.066,0.07,NA
"F",NA,0.4,0.14,0.778,0.368,0.215,0.18,9
"I",0.385,0.3,NA,NA,NA,0.056,0.0835,8
"M",0.525,0.4,0.17,0.7305,NA,0.2055,0.195,NA
"F",0.575,0.48,0.17,1.1,0.506,0.2485,0.31,NA
"I",0.315,0.23,0,0.134,NA,0.0285,NA,NA
"M",0.175,0.135,0.04,0.0305,0.011,0.0075,0.01,5
"M",0.52,NA,0.145,0.7765,0.3525,0.1845,0.185,9
"I",0.27,NA,0.065,0.1065,0.0475,NA,0.0285,5
"M",0.555,0.42,0.145,0.8695,0.3075,0.2575,0.25,14
"M",0.625,NA,0.175,1.0565,0.4615,0.258,0.305,NA
"M",0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,9
"F",0.525,0.405,NA,0.72,0.3105,0.1915,0.2,14
"M",0.7,0.575,NA,2.273,1.095,0.418,0.638,12
"M",0.555,0.405,0.19,1.406,0.6115,NA,0.389,10
"M",0.53,NA,0.13,0.702,0.2975,0.1395,0.22,9
"M",0.335,0.235,0.085,0.1545,NA,0.0345,0.045,6
"F",0.45,0.36,0.105,0.4715,0.2035,0.0935,NA,9
"M",0.72,NA,0.205,2.165,1.1055,0.525,0.404,10
"M",0.6,0.495,0.195,1.0575,0.384,0.19,0.375,26
"F",0.625,0.52,0.18,1.354,0.4845,0.351,0.375,11
"I",0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,NA
"F",NA,NA,NA,1.787,0.585,0.453,0.6,19
"M",NA,0.475,NA,1.142,0.62,0.237,0.245,NA
"I",NA,0.4,0.125,0.5935,0.239,0.13,NA,8
"F",0.51,0.375,0.11,0.5805,0.2865,0.118,0.148,7
"M",0.655,0.58,NA,2.0805,0.959,0.3415,0.601,17
"I",0.39,0.3,0.1,NA,0.1385,NA,0.085,6
"I",0.48,NA,0.12,0.536,0.251,0.114,0.15,NA
"F",0.58,0.44,NA,NA,0.363,0.1955,0.195,11
"F",0.73,0.57,0.165,2.0165,1.0685,0.418,0.435,10
"F",0.58,0.445,0.145,0.888,NA,0.1815,NA,8
"F",0.345,0.26,NA,0.207,0.0775,0.0435,0.0765,10
"F",NA,0.555,0.205,1.8165,0.7785,0.4395,0.515,NA
"M",0.33,0.215,0.075,0.1145,0.045,NA,0.035,6
"I",0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3
"M",0.605,0.485,0.175,NA,0.4325,0.27,0.405,16
"F",NA,0.355,0.18,0.441,0.1525,0.1165,0.135,8
"I",0.575,0.455,0.155,0.8725,NA,0.2095,0.285,8
"I",0.36,0.27,0.095,0.2,0.073,NA,0.061,8
"M",0.635,0.515,0.165,NA,0.5055,0.2975,0.3535,10
"M",0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,11
"I",NA,0.225,NA,0.187,0.0945,0.0395,0.0425,7
"F",0.555,0.455,0.18,NA,0.296,0.195,NA,14
"M",0.4,0.3,0.125,0.417,0.191,NA,0.1175,9
"M",0.545,0.435,NA,0.9385,0.3685,0.1245,0.345,NA
"I",0.525,0.39,0.105,0.567,0.2875,NA,0.16,8
"F",NA,0.5,0.175,1.186,0.4985,0.3015,NA,12
"I",0.5,0.385,0.12,0.56,0.2835,0.103,0.135,8
"F",0.525,0.44,NA,0.7115,0.3205,0.159,0.1915,7
"M",0.72,0.575,NA,NA,0.9515,0.564,0.5365,12
"M",0.6,0.46,0.18,1.14,0.423,0.2575,0.365,10
"M",0.635,0.51,0.185,1.308,0.544,0.318,0.377,8
"I",0.155,0.105,0.05,0.0175,0.005,0.0035,0.005,4
"I",0.33,0.24,0.075,0.163,0.0745,0.033,0.048,NA
"F",0.425,0.33,0.115,0.406,NA,0.081,0.1355,NA
"I",0.395,0.295,NA,0.293,0.14,0.062,0.082,7
"F",0.575,NA,0.165,0.869,0.435,0.197,0.238,9
"I",NA,0.435,0.165,0.804,0.34,0.194,0.244,8
"I",0.53,0.395,0.13,0.575,0.247,NA,NA,9
"F",NA,0.525,0.19,1.67,0.6525,0.4875,0.49,11
"F",0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,NA
"I",0.525,0.385,NA,0.607,0.2355,0.125,0.195,NA
"F",0.685,0.53,0.17,1.5105,0.7385,0.3525,0.3725,10
"M",0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14
"I",0.53,NA,0.13,0.658,NA,0.1245,0.198,8
"M",0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,NA
"I",NA,NA,0.1,0.302,0.116,0.064,0.115,NA
"F",NA,NA,0.2,1.737,0.697,NA,0.595,11
"I",NA,0.39,0.11,0.531,0.2415,0.098,0.1615,8
"F",0.57,0.45,NA,0.9555,0.38,0.1665,0.295,18
"F",0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12
"I",0.36,0.285,0.105,0.2415,0.0915,0.057,NA,7
"F",0.625,0.49,0.2,1.3825,0.5895,0.285,NA,11
"M",0.58,NA,NA,0.9525,0.4315,0.1945,0.287,11
"I",0.485,0.365,0.105,0.5205,NA,0.123,NA,8
"F",NA,0.425,0.135,NA,0.2665,0.1605,0.25,11
"I",0.33,0.25,0.075,0.1405,NA,0.035,0.05,5
"M",0.74,0.605,0.2,2.4925,1.1455,0.575,NA,NA
"I",0.475,0.36,NA,0.4555,0.177,0.0965,0.145,9
"M",0.6,0.465,0.18,1.193,0.5145,0.315,0.3055,8
"I",0.27,0.19,0.08,0.081,0.0265,0.0195,0.03,6
"F",0.64,0.525,0.215,NA,0.4535,0.2855,NA,22
"M",0.62,0.485,0.155,1.0295,0.425,0.2315,NA,12
"M",0.555,0.455,0.135,0.837,NA,0.171,NA,9
"I",0.575,0.45,0.13,0.8145,0.403,0.1715,0.213,10
"I",0.575,0.45,0.135,0.8245,0.3375,0.2115,0.239,11
"M",0.545,0.42,0.12,0.7865,0.403,0.185,0.17,NA
"I",0.34,0.255,0.075,0.18,0.0745,0.04,0.0525,NA
"M",0.605,0.445,0.14,0.982,NA,0.2085,0.295,12
"M",0.51,NA,0.145,0.796,0.3865,0.1815,0.1955,8
"M",0.53,NA,0.135,0.7365,0.3275,NA,0.22,12
"F",0.595,0.45,0.15,1.114,0.5865,0.2205,0.25,11
"I",0.3,0.22,0.09,NA,0.057,0.0335,0.043,7
"M",0.69,0.53,NA,1.5955,0.678,0.331,0.48,10
"M",0.48,0.355,0.16,0.464,0.221,0.106,0.239,8
"I",0.33,0.255,NA,NA,0.0895,0.0395,0.055,NA
"M",NA,0.445,0.13,0.8625,0.4225,0.155,NA,9
"M",0.54,NA,NA,NA,0.2815,0.213,0.355,NA
"I",0.315,NA,0.085,NA,NA,0.0345,0.0535,7
"I",0.51,0.385,0.15,0.625,NA,0.119,0.1725,8
"F",0.52,0.4,0.13,0.6245,0.215,0.2065,0.17,15
"M",0.53,0.41,0.125,0.769,0.346,0.173,0.215,9
"F",0.645,0.505,0.165,1.4325,0.684,0.308,0.336,8
"M",0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12
"F",0.49,0.37,NA,0.541,0.171,0.1175,0.185,11
"M",0.51,0.415,NA,0.751,0.3295,NA,0.203,NA
"I",NA,0.375,0.12,0.543,0.2375,0.1155,0.1725,NA
"I",NA,0.345,NA,0.4155,0.198,0.0885,0.107,7
"I",0.375,0.285,0.09,0.2545,0.119,0.0595,0.0675,6
"I",0.505,0.405,0.13,0.599,0.2245,0.1175,0.225,11
"I",0.54,0.4,0.145,0.757,0.315,0.181,0.215,11
"M",0.66,0.525,0.2,1.489,0.6065,NA,0.421,10
"M",0.625,0.47,0.17,1.1665,0.4605,0.2565,0.3945,11
"M",0.63,0.515,0.155,1.259,0.4105,0.197,0.41,13
"I",0.55,0.45,0.13,0.804,0.3375,NA,0.23,6
"I",0.52,0.38,0.135,NA,0.2295,0.133,0.157,8
"F",0.6,0.46,NA,0.9325,0.3985,0.2245,0.248,8
"M",0.595,0.475,NA,NA,0.4925,0.217,NA,NA
"F",0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,12
"M",NA,0.395,0.125,0.8115,0.4035,0.166,0.2,NA
"M",0.585,0.46,0.165,1.1135,NA,0.2345,0.274,10
"M",0.62,0.47,0.145,1.0865,0.511,0.2715,0.2565,10
"F",0.41,0.305,0.1,NA,0.1735,0.065,0.11,NA
"M",NA,0.48,0.14,1.0625,0.516,0.225,0.2915,NA
"I",0.215,0.155,0.06,0.0525,0.021,NA,NA,5
"M",NA,NA,0.165,1.115,0.5165,0.273,0.275,10
"M",0.695,NA,NA,1.885,0.8665,0.435,0.5,19
"M",0.63,0.49,0.18,1.13,NA,0.2765,0.315,12
"F",0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6
"M",0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,16
"M",0.635,NA,0.17,1.4345,0.611,0.309,0.418,12
"F",0.515,0.395,0.135,0.516,0.2015,0.132,0.162,9
"I",0.28,0.22,0.08,0.1315,0.066,0.024,0.03,5
"F",NA,NA,NA,1.0035,0.406,0.2505,NA,NA
"I",NA,0.415,0.135,0.709,0.3195,0.174,0.185,9
"F",0.515,0.4,0.17,0.796,0.258,0.1755,NA,16
"F",NA,0.26,0.09,NA,0.085,NA,0.062,7
"F",0.525,0.39,0.135,0.6005,0.2265,0.131,0.21,16
"F",0.65,0.525,0.165,1.238,0.647,0.2485,0.3005,9
"I",0.265,0.195,NA,0.084,NA,0.0175,0.025,7
"F",0.395,0.295,NA,0.2245,0.078,0.054,0.08,10
"I",0.635,0.5,0.18,1.319,NA,0.292,0.49,16
"F",0.62,0.475,NA,1.0165,0.4355,0.214,0.325,10
"F",0.55,0.47,0.15,0.9205,0.381,0.2435,0.2675,10
"I",0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645,6
"M",NA,0.385,0.145,0.6775,0.236,0.179,0.2,15
"F",0.645,0.48,0.19,1.371,0.6925,0.2905,0.35,12
"M",0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,NA
"M",0.605,0.49,0.18,1.227,0.48,0.287,0.35,18
"F",0.71,0.545,0.175,NA,0.8725,0.4565,0.475,NA
"F",0.705,0.535,0.22,NA,0.929,0.3835,0.4395,10
"M",NA,0.455,0.15,NA,0.4095,NA,0.2335,8
"F",NA,NA,0.15,0.8495,0.328,NA,0.202,8
"I",0.2,0.145,0.05,0.036,0.0125,0.008,NA,NA
"I",0.475,0.36,0.11,0.452,0.191,0.099,0.13,8
"M",0.515,0.4,NA,NA,0.2955,0.184,0.185,16
"I",0.415,0.31,0.095,0.311,0.1125,0.0625,0.115,8
"M",0.555,0.445,NA,0.836,0.336,0.1625,0.275,13
"M",0.525,0.41,0.165,0.8005,0.2635,0.1985,NA,13
"F",0.62,0.51,0.18,NA,0.592,0.274,0.322,10
"M",0.38,0.27,NA,0.219,0.0835,0.0515,0.07,6
"M",0.59,0.46,0.14,1.004,0.496,0.2165,0.26,NA
"F",0.61,0.47,0.195,1.2735,NA,0.3315,0.398,NA
"I",0.46,0.35,0.115,NA,0.18,0.098,0.1175,7
"I",0.36,NA,0.085,NA,0.0875,0.035,0.064,4
"I",NA,0.355,0.12,0.4975,0.2375,0.099,0.14,8
"I",0.395,NA,0.095,0.304,0.127,0.084,0.077,6
"I",0.5,0.4,0.12,0.616,0.261,0.143,0.1935,NA
"F",NA,NA,0.165,1.1905,0.4585,0.298,0.37,12
"I",0.405,0.3,NA,0.3035,0.15,NA,0.088,7
"F",0.665,0.515,0.18,1.389,0.5945,0.324,0.395,NA
"F",0.535,0.4,NA,0.8215,0.3935,0.196,0.205,8
"F",0.75,0.61,0.235,2.5085,NA,0.519,0.612,14
"I",0.475,0.365,0.12,0.5185,0.268,0.1095,0.1365,8
"F",0.68,0.505,0.17,1.3435,NA,0.297,0.355,12
"F",0.675,0.53,0.195,1.4985,0.62,0.375,0.425,NA
"F",0.61,NA,0.19,1.213,0.464,0.306,0.365,15
"F",0.615,0.495,0.155,1.0805,0.52,NA,0.32,9
"F",0.63,0.485,0.17,1.3205,0.5945,0.345,0.345,9
"M",NA,0.425,0.12,0.702,0.3335,0.1465,0.22,12
"F",0.635,0.535,0.19,1.242,0.576,NA,0.39,14
"M",0.55,0.44,NA,0.991,0.348,NA,0.375,NA
